
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g32_a1.0.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g32_a1.0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g32_a1.0.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xFBC160000000,0.262,0.262,5,256,24023.400
0xFBC160200000,,,1,,
0xFBC160210000,,,1,,
0xFBC160220000,,,1,,
0xFBC160240000,,,1,,
0xFBC160280000,,,1,,
0xFBC160300000,,,1,,
0xFBC160400000,,,1,,
0xFBC1DB5D0000,,,,1,

