
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.0.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.0.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xE4D560310000,,0.983,,,186180.895
0xE4D560290000,,0.459,,,139184.439
0xE4D560250000,,0.197,,,84164.346
0xE4D560220000,,0.066,1,73,35949.511
0xE4D560300000,,0.066,1,88,35329.343
0xE4D560280000,,0.066,1,103,34730.213
0xE4D560240000,,0.066,1,125,34151.072
0xE4D560210000,,0.066,1,,34133.311
0xE4D560230000,,0.066,,,34133.311
0xE4D560200000,,0.066,1,180,23540.204

