
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g8_a0.5.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g8_a0.5.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g8_a0.5.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xF94DE0310000,,3.932,,,193509.458
0xF94DE0390000,1.376,,,,137845.801
0xF94DE0350000,0.197,,,,71441.842
0xF94DE0360000,0.262,,,,50257.461
0xF94DE0320000,0.393,,,199,39258.685
0xF94DE02F0000,0.590,0.262,9,88,36925.997
0xF94DE0300000,,0.262,7,,34730.148
0xF94DE0340000,0.328,,,272,31419.924
0xF94DE0400000,,0.066,1,27,22755.541
0xF94DE0000000,0.262,0.262,5,64,21416.641

