
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g32_a0.9.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g32_a0.9.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g32_a0.9.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xF863803D0000,0.590,0.590,,28,79277.064
0xF863803C0000,0.197,0.459,9,,30349.066
0xF86380400000,,0.066,1,,22755.541
0xF86380000000,0.262,0.262,5,256,22567.453
0xF86380200000,,,1,,
0xF86380210000,,,1,,
0xF86380220000,,,1,,
0xF86380240000,,,1,,
0xF86380280000,,,1,,
0xF863802E0000,,,1,,

