
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g16_a0.1.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g16_a0.1.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g16_a0.1.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xF53D80310000,,0.983,,,186180.895
0xF53D80290000,,0.459,,,136533.311
0xF53D80250000,,0.197,,,84164.346
0xF53D80210000,0.590,0.262,4,44,52512.752
0xF53D80230000,,0.262,,,35008.545
0xF53D80280000,,0.066,1,,34730.213
0xF53D80300000,,0.066,1,130,34730.213
0xF53D80220000,,0.262,4,19,31890.866
0xF53D80200000,0.197,0.262,4,,25110.708
0xF53D80000000,0.262,0.262,5,128,24786.239

