
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g8_a0.75.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g8_a0.75.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g8_a0.75.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xE5AD60390000,,1.376,,,143359.082
0xE5AD603D0000,0.590,,,,73433.678
0xE5AD60380000,0.524,0.721,3,229,53757.084
0xE5AD603B0000,0.197,,,,31030.247
0xE5AD60000000,0.262,0.262,5,64,24861.737
0xE5AD60400000,,0.066,1,67,23813.947
0xE5AD603C0000,0.197,,,63,21192.966
0xE5AD603A0000,0.066,,,116,20486.357
0xE5AD60200000,,,1,,
0xE5AD60210000,,,1,,

