
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.25.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.25.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.25.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xFDE700310000,,0.983,,,193206.682
0xFDE700290000,,1.835,,,140893.749
0xFDE7002B0000,0.983,,,,108935.578
0xFDE700250000,,0.786,,,86231.482
0xFDE700270000,0.786,,,181,85065.204
0xFDE700200000,1.376,0.262,5,,63927.091
0xFDE700230000,,0.262,,,34565.259
0xFDE700240000,,0.262,8,,34009.252
0xFDE700210000,,0.262,4,,31999.918
0xFDE700280000,,0.262,6,,29802.627

