
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.75.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.75.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g16_a0.75.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xFDF3E0390000,,1.376,,,138734.862
0xFDF3E03D0000,0.590,,,,75232.641
0xFDF3E0380000,0.786,0.721,10,258,60241.871
0xFDF3E0400000,,0.066,1,64,23272.686
0xFDF3E0000000,0.262,0.262,5,128,22598.386
0xFDF3E03C0000,0.197,,,258,20833.567
0xFDF3E0200000,,,1,,
0xFDF3E0210000,,,1,,
0xFDF3E0220000,,,1,,
0xFDF3E0240000,,,2,,

