
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g8_a0.0.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g8_a0.0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g8_a0.0.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xE8D040310000,,0.983,,,188465.480
0xE8D040290000,,0.459,,,133981.274
0xE8D040250000,,0.197,,,83026.969
0xE8D040240000,,0.066,1,16,36591.829
0xE8D040300000,,0.066,1,75,35949.511
0xE8D040210000,,0.066,1,,35929.784
0xE8D040230000,,0.066,,,35929.784
0xE8D040220000,,0.066,1,33,34151.072
0xE8D040280000,,0.066,1,71,32524.009
0xE8D040000000,0.066,0.066,2,16,24824.119

