
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g8_a0.1.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g8_a0.1.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t4_g8_a0.1.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xE397E0310000,,0.983,,,195668.214
0xE397E0290000,,0.459,,,135245.136
0xE397E0250000,,0.197,,,84164.346
0xE397E0220000,0.262,0.262,12,53,41491.104
0xE397E0210000,0.197,0.262,7,13,36293.247
0xE397E0300000,,0.066,1,43,35949.511
0xE397E0230000,,0.262,,,34711.798
0xE397E0280000,,0.066,1,87,33590.936
0xE397E0200000,0.328,0.262,4,,29076.554
0xE397E0400000,,0.066,1,39,23011.197

