
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g32_a0.9.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g32_a0.9.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g32_a0.9.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xFE30603D0000,0.459,0.590,,93,72495.399
0xFE30603E0000,0.131,,,92,38641.467
0xFE30603C0000,0.197,0.459,3,,31662.408
0xFE3060400000,,0.066,1,,23011.197
0xFE3060000000,0.262,0.262,5,256,22598.386
0xFE3060200000,,,1,,
0xFE3060210000,,,1,,
0xFE3060220000,,,1,,
0xFE3060240000,,,1,,
0xFE3060280000,,,1,,

