
NOTICE: Existing SQLite export found: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g64_a0.5.sqlite
        It is assumed file was previously exported from: /home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g64_a0.5.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/Rajesh-FS/chai/CUDA-U/gh200_pf/BS_t1_g64_a0.5.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.1.1/target-linux-sbsa-armv8/reports/um_sum.py]... 
Virtual Address,HtoD Migration size (MB),DtoH Migration size (MB),CPU Page Faults, GPU Page Faults,Migration Throughput (MB/s)
0xF275A0310000,,3.932,,,195046.932
0xF275A0330000,0.262,,,,101174.739
0xF275A03C0000,0.524,,,,90518.847
0xF275A03D0000,0.197,,,,79792.177
0xF275A03A0000,0.328,,,,64427.786
0xF275A02F0000,1.049,0.262,3,36,54257.254
0xF275A0350000,0.131,,,,51219.923
0xF275A0380000,0.393,,,279,39020.790
0xF275A0300000,,0.262,4,,34730.148
0xF275A0340000,0.066,,,,32524.009

