benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
SC,32,8,0.0,58,320,16.25,14.1875,0.2265625,1.25
SC,32,8,0.1,84,552,16.69921875,14.63671875,0.328125,2.15625
SC,32,8,0.25,140,951,17.78125,15.77734375,0.546875,3.71484375
SC,32,8,0.5,1100,1474,12.65234375,10.6484375,4.296875,5.7578125
SC,32,8,0.75,3037,4655,7.15625,6.15625,11.86328125,18.18359375
SC,32,8,0.9,4088,6893,4.88671875,4.63671875,15.96875,26.92578125
SC,32,8,1.0,13,0,,,0.05078125,0.0
SC,32,16,0.0,58,309,16.25,14.1875,0.2265625,1.20703125
SC,32,16,0.1,84,662,17.1640625,15.16015625,0.328125,2.5859375
SC,32,16,0.25,129,1211,17.5,15.4375,0.50390625,4.73046875
SC,32,16,0.5,1042,2922,12.80078125,10.80078125,4.0703125,11.4140625
SC,32,16,0.75,2318,6148,6.796875,5.796875,9.0546875,24.015625
SC,32,16,0.9,4458,12441,4.05859375,4.05859375,17.4140625,48.59765625
SC,32,16,1.0,13,0,,,0.05078125,0.0
SC,32,32,0.0,58,273,16.25,14.1875,0.2265625,1.06640625
SC,32,32,0.1,109,1172,18.40625,16.40234375,0.42578125,4.578125
SC,32,32,0.25,137,2551,16.78125,14.71875,0.53515625,9.96484375
SC,32,32,0.5,971,5923,13.20703125,11.20703125,3.79296875,23.13671875
SC,32,32,0.75,2982,13152,8.33203125,7.328125,11.6484375,51.375
SC,32,32,0.9,3654,10150,4.07421875,4.0703125,14.2734375,39.6484375
SC,32,32,1.0,13,0,,,0.05078125,0.0
SC,32,64,0.0,58,137,16.25,14.1875,0.2265625,0.53515625
SC,32,64,0.1,116,2595,18.84375,16.83984375,0.453125,10.13671875
SC,32,64,0.25,129,6723,16.48046875,14.4765625,0.50390625,26.26171875
SC,32,64,0.5,1051,10270,12.8984375,10.8984375,4.10546875,40.1171875
SC,32,64,0.75,3696,15983,7.11328125,6.11328125,14.4375,62.43359375
SC,32,64,0.9,4526,11706,3.95703125,3.95703125,17.6796875,45.7265625
SC,32,64,1.0,13,0,,,0.05078125,0.0
SC,64,8,0.0,58,329,16.25,14.1875,0.2265625,1.28515625
SC,64,8,0.1,91,558,16.8828125,14.87890625,0.35546875,2.1796875
SC,64,8,0.25,131,814,16.93359375,14.9296875,0.51171875,3.1796875
SC,64,8,0.5,185,1204,13.42578125,11.421875,0.72265625,4.703125
SC,64,8,0.75,1277,1696,7.1015625,6.09765625,4.98828125,6.625
SC,64,8,0.9,2719,2802,5.0703125,4.81640625,10.62109375,10.9453125
SC,64,8,1.0,13,0,,,0.05078125,0.0
SC,64,16,0.0,58,305,16.25,14.1875,0.2265625,1.19140625
SC,64,16,0.1,90,602,16.8515625,14.84765625,0.3515625,2.3515625
SC,64,16,0.25,123,1129,17.7734375,15.7109375,0.48046875,4.41015625
SC,64,16,0.5,172,2363,13.390625,11.38671875,0.671875,9.23046875
SC,64,16,0.75,1718,4227,7.28125,6.28125,6.7109375,16.51171875
SC,64,16,0.9,2705,3394,4.33984375,4.3359375,10.56640625,13.2578125
SC,64,16,1.0,13,0,,,0.05078125,0.0
SC,64,32,0.0,58,255,16.25,14.1875,0.2265625,0.99609375
SC,64,32,0.1,106,1626,18.47265625,16.41015625,0.4140625,6.3515625
SC,64,32,0.25,135,2471,16.82421875,14.76171875,0.52734375,9.65234375
SC,64,32,0.5,162,3868,14.03125,11.96875,0.6328125,15.109375
SC,64,32,0.75,2631,8859,7.07421875,6.0703125,10.27734375,34.60546875
SC,64,32,0.9,4163,6313,4.20703125,4.203125,16.26171875,24.66015625
SC,64,32,1.0,13,0,,,0.05078125,0.0
SC,64,64,0.0,58,202,16.25,14.1875,0.2265625,0.7890625
SC,64,64,0.1,106,1936,18.70703125,16.703125,0.4140625,7.5625
SC,64,64,0.25,128,3944,16.828125,14.82421875,0.5,15.40625
SC,64,64,0.5,167,7587,13.36328125,11.359375,0.65234375,29.63671875
SC,64,64,0.75,1585,7513,6.9296875,5.8671875,6.19140625,29.34765625
SC,64,64,0.9,4457,7558,4.25,4.24609375,17.41015625,29.5234375
SC,64,64,1.0,13,0,,,0.05078125,0.0
