benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
PAD,32,8,0.1,11.1817,0.225696,30.913376,1.279936
PAD,32,8,0.25,15.13195,0.236032,30.652992,1.235168
PAD,32,8,0.5,35.637383,0.243808,30.763359,1.017952
PAD,32,8,0.75,53.318489,0.244608,40.896767,1.140736
PAD,32,8,0.9,70.990318,0.218848,32.596096,1.19056
PAD,32,8,1.0,63.504894,0.243008,32.581921,1.030048
PAD,32,16,0.0,6.937753,0.239616,30.823551,1.145152
PAD,32,16,0.1,12.223527,0.222496,30.579231,1.3808
PAD,32,16,0.25,14.944376,0.26832,32.838242,1.295136
PAD,32,16,0.5,36.290932,0.239904,30.811968,1.257344
PAD,32,16,0.75,61.006744,0.224352,30.774912,1.314112
PAD,32,16,0.9,68.460091,0.229216,30.833344,1.250848
PAD,32,16,1.0,68.186378,0.266336,32.803551,1.084704
PAD,32,32,0.0,6.849083,0.234496,30.865408,1.395456
PAD,32,32,0.1,9.950519,0.247424,30.652479,1.188
PAD,32,32,0.25,15.268822,0.218592,31.137888,1.284768
PAD,32,32,0.5,44.322937,0.224992,30.860001,1.3752
PAD,32,32,0.75,60.73296,0.213888,30.78336,1.264384
PAD,32,32,0.9,65.763535,0.248992,32.429054,1.306912
PAD,32,32,1.0,60.233002,0.236864,31.63344,1.01936
PAD,32,64,0.0,7.074481,0.247008,30.765535,1.658464
PAD,32,64,0.1,12.048032,0.211456,30.59552,1.479872
PAD,32,64,0.25,16.693134,0.24656,32.83165,1.44896
PAD,32,64,0.5,47.36702,0.233184,31.599903,1.230976
PAD,32,64,0.75,75.953506,0.23824,32.669312,1.250016
PAD,32,64,0.9,62.487984,0.22416,33.149761,1.255552
PAD,32,64,1.0,52.783222,0.234784,32.523582,1.0624
PAD,64,8,0.0,11.418007,0.26848,32.600735,1.8024
PAD,64,8,0.1,15.011467,0.244384,31.054304,1.325824
PAD,64,8,0.25,18.840851,0.246016,31.085855,1.292032
PAD,64,8,0.5,25.367477,0.245504,30.878529,1.238432
PAD,64,8,0.75,116.456406,0.235552,30.76416,1.25136
PAD,64,8,0.9,176.48201,0.248992,43.594944,1.539296
PAD,64,8,1.0,178.486542,0.248896,30.606785,0.538176
PAD,64,16,0.0,10.099613,0.245088,30.83296,1.872736
PAD,64,16,0.1,12.427874,0.244416,32.590752,1.14464
PAD,64,16,0.25,15.622278,0.163232,29.377567,0.8808
PAD,64,16,0.5,22.554449,0.271744,30.500799,1.0856
PAD,64,16,0.75,126.15641,0.180352,29.602177,0.940736
PAD,64,16,0.9,170.848022,0.170752,29.228256,1.271776
PAD,64,16,1.0,137.953156,0.276128,32.640961,1.154624
PAD,64,32,0.0,11.228571,0.244576,32.824577,1.981664
PAD,64,32,0.1,14.510013,0.252544,31.06896,1.532192
PAD,64,32,0.25,19.982512,0.224576,31.011168,1.217728
PAD,64,32,0.5,30.117962,0.232544,32.41872,1.30432
PAD,64,32,0.75,127.30896,0.22464,30.811359,1.257632
PAD,64,32,0.9,236.721436,0.229824,30.733824,1.626752
PAD,64,32,1.0,271.559814,0.226784,30.961409,0.89744
PAD,64,64,0.0,7.9578,0.203072,31.702433,1.472576
PAD,64,64,0.1,13.070683,0.223552,30.766048,1.086592
PAD,64,64,0.25,14.585632,0.270368,32.612896,0.901568
PAD,64,64,0.5,24.586535,0.25088,30.914528,0.902816
PAD,64,64,0.75,110.322937,0.199936,31.665152,0.861216
PAD,64,64,0.9,172.513657,0.211424,29.984257,0.978144
PAD,64,64,1.0,202.006729,0.226112,32.116062,0.781216
