benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
BS,32,64,0.75,NA,0.064512,NA,NA
BS,32,64,0.9,NA,0.072352,NA,NA
BS,32,64,1.0,NA,0.067872,NA,NA
BS,64,8,0.0,NA,0.063712,NA,NA
BS,64,8,0.1,NA,0.079456,NA,NA
BS,64,8,0.25,NA,0.066144,NA,NA
BS,64,8,0.5,NA,0.064576,NA,NA
BS,64,8,0.75,NA,0.064992,NA,NA
BS,64,8,0.9,NA,0.079008,NA,NA
BS,64,8,1.0,NA,0.086784,NA,NA
BS,64,16,0.0,NA,0.060480,NA,NA
BS,64,16,0.1,NA,0.063456,NA,NA
BS,64,16,0.25,NA,0.064896,NA,NA
BS,64,16,0.5,NA,0.063648,NA,NA
BS,64,16,0.75,NA,0.075360,NA,NA
BS,64,16,0.9,NA,0.087584,NA,NA
BS,64,16,1.0,NA,0.065952,NA,NA
BS,64,32,0.0,NA,0.061600,NA,NA
BS,64,32,0.1,NA,0.062816,NA,NA
BS,64,32,0.25,NA,0.085792,NA,NA
BS,64,32,0.5,NA,0.076864,NA,NA
BS,64,32,0.75,NA,0.089728,NA,NA
BS,64,32,0.9,NA,0.069632,NA,NA
BS,64,32,1.0,NA,0.078784,NA,NA
