benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
PAD,32,8,0.5,84,652,21.168,21.103,21.103,21.168
PAD,32,8,0.75,56,248,12.78,12.714,12.714,12.78
PAD,32,8,0.9,45,300,7.537,7.471,7.471,7.537
PAD,32,8,1.0,0,0,0,0,0,0
PAD,32,16,0.0,124,519,32.506,32.44,32.44,32.506
PAD,32,16,0.1,172,820,34.996,34.669,34.669,34.996
PAD,32,16,0.25,121,718,26.411,26.345,26.345,26.411
PAD,32,16,0.5,92,658,18.022,17.957,17.957,18.022
PAD,32,16,0.75,62,240,9.11,9.044,9.044,9.11
PAD,32,16,0.9,44,297,8.585,8.52,8.52,8.585
PAD,32,16,1.0,0,0,0,0,0,0
PAD,32,32,0.0,124,744,32.506,32.44,32.44,32.506
PAD,32,32,0.1,151,841,34.406,34.341,34.341,34.406
PAD,32,32,0.25,120,436,26.411,26.345,26.345,26.411
PAD,32,32,0.5,91,425,18.022,17.957,17.957,18.022
PAD,32,32,0.75,60,188,9.11,9.044,9.044,9.11
PAD,32,32,0.9,46,316,8.585,8.52,8.52,8.585
PAD,32,32,1.0,0,0,0,0,0,0
PAD,32,64,0.0,124,394,32.506,32.44,32.44,32.506
PAD,32,64,0.1,148,482,34.472,34.406,34.406,34.472
PAD,32,64,0.25,120,626,26.411,26.345,26.345,26.411
PAD,32,64,0.5,92,264,18.022,17.957,17.957,18.022
PAD,32,64,0.75,60,246,9.11,9.044,9.044,9.11
PAD,32,64,0.9,46,316,8.585,8.52,8.52,8.585
PAD,32,64,1.0,0,0,0,0,0,0
PAD,64,8,0.0,124,706,32.506,32.44,32.44,32.506
PAD,64,8,0.1,144,1713,32.965,32.899,32.899,32.965
PAD,64,8,0.25,118,478,27.984,27.918,27.918,27.984
PAD,64,8,0.5,84,755,21.168,21.103,21.103,21.168
PAD,64,8,0.75,58,242,12.78,12.714,12.714,12.78
PAD,64,8,0.9,37,308,7.537,7.471,7.471,7.537
PAD,64,8,1.0,0,0,0,0,0,0
PAD,64,16,0.0,124,288,32.506,32.44,32.44,32.506
PAD,64,16,0.1,182,832,35.455,35.258,35.258,35.455
PAD,64,16,0.25,126,1154,26.411,26.345,26.345,26.411
PAD,64,16,0.5,94,794,18.022,17.957,17.957,18.022
PAD,64,16,0.75,61,241,9.11,9.044,9.044,9.11
PAD,64,16,0.9,43,297,8.585,8.52,8.52,8.585
PAD,64,16,1.0,0,0,0,0,0,0
PAD,64,32,0.0,124,538,32.506,32.44,32.44,32.506
PAD,64,32,0.1,150,947,34.406,34.341,34.341,34.406
PAD,64,32,0.25,129,789,26.411,26.345,26.345,26.411
PAD,64,32,0.5,91,513,18.022,17.957,17.957,18.022
PAD,64,32,0.75,64,194,9.11,9.044,9.044,9.11
PAD,64,32,0.9,38,316,8.585,8.52,8.52,8.585
PAD,64,32,1.0,0,0,0,0,0,0
PAD,64,64,0.0,124,437,32.506,32.44,32.44,32.506
PAD,64,64,0.1,148,491,34.406,34.341,34.341,34.406
PAD,64,64,0.25,124,677,26.411,26.345,26.345,26.411
PAD,64,64,0.5,92,264,18.022,17.957,17.957,18.022
PAD,64,64,0.75,63,248,9.11,9.044,9.044,9.11
PAD,64,64,0.9,38,316,8.585,8.52,8.52,8.585
PAD,64,64,1.0,0,0,0,0,0,0
