benchmark,threads,gpu_blocks,partition,cpu_page_faults,gpu_page_faults,htod_migration_mb,dtoh_migration_mb,cpu_pf_data_mb,gpu_pf_data_mb
SC,32,8,1.0,0,0,0,0,0,0
SC,32,16,0.0,58,835,17.039,14.877,14.877,17.039
SC,32,16,0.1,58,602,16.974,14.811,14.811,16.974
SC,32,16,0.25,58,717,16.974,14.811,14.811,16.974
SC,32,16,0.5,44,326,13.042,10.879,10.879,13.042
SC,32,16,0.75,24,244,6.488,5.374,5.374,6.488
SC,32,16,0.9,33,133,3.342,3.277,3.277,3.342
SC,32,16,1.0,0,0,0,0,0,0
SC,32,32,0.0,58,525,17.039,14.877,14.877,17.039
SC,32,32,0.1,74,544,18.94,16.777,16.777,18.94
SC,32,32,0.25,58,428,16.974,14.811,14.811,16.974
SC,32,32,0.5,41,248,12.78,10.617,10.617,12.78
SC,32,32,0.75,23,216,6.488,5.374,5.374,6.488
SC,32,32,0.9,34,141,3.342,3.277,3.277,3.342
SC,32,32,1.0,0,0,0,0,0,0
SC,32,64,0.0,58,314,17.039,14.877,14.877,17.039
SC,32,64,0.1,74,287,19.005,16.843,16.843,19.005
SC,32,64,0.25,58,361,16.974,14.811,14.811,16.974
SC,32,64,0.5,40,291,12.78,10.617,10.617,12.78
SC,32,64,0.75,24,139,8.585,7.471,7.471,8.585
SC,32,64,0.9,33,136,3.342,3.277,3.277,3.342
SC,32,64,1.0,0,0,0,0,0,0
SC,64,8,0.0,58,1179,17.039,14.877,14.877,17.039
SC,64,8,0.1,59,1121,17.629,15.466,15.466,17.629
SC,64,8,0.25,58,1153,16.974,14.811,14.811,16.974
SC,64,8,0.5,42,964,13.042,10.879,10.879,13.042
SC,64,8,0.75,23,769,6.488,5.374,5.374,6.488
SC,64,8,0.9,28,209,4.391,4.063,4.063,4.391
SC,64,8,1.0,0,0,0,0,0,0
SC,64,16,0.0,58,864,17.039,14.877,14.877,17.039
SC,64,16,0.1,58,755,16.974,14.811,14.811,16.974
SC,64,16,0.25,59,740,16.974,14.811,14.811,16.974
SC,64,16,0.5,43,513,13.042,10.879,10.879,13.042
SC,64,16,0.75,24,198,6.75,5.636,5.636,6.75
SC,64,16,0.9,26,147,3.342,3.277,3.277,3.342
SC,64,16,1.0,0,0,0,0,0,0
SC,64,32,0.0,58,553,17.039,14.877,14.877,17.039
SC,64,32,0.1,74,702,18.94,16.777,16.777,18.94
SC,64,32,0.25,58,335,16.974,14.811,14.811,16.974
SC,64,32,0.5,38,241,12.78,10.617,10.617,12.78
SC,64,32,0.75,25,231,6.488,5.374,5.374,6.488
SC,64,32,0.9,25,151,3.342,3.277,3.277,3.342
SC,64,32,1.0,0,0,0,0,0,0
SC,64,64,0.0,58,310,17.039,14.877,14.877,17.039
SC,64,64,0.1,78,355,19.005,16.843,16.843,19.005
SC,64,64,0.25,58,396,16.974,14.811,14.811,16.974
SC,64,64,0.5,39,284,12.78,10.617,10.617,12.78
SC,64,64,0.75,24,124,8.585,7.471,7.471,8.585
SC,64,64,0.9,24,133,3.342,3.277,3.277,3.342
SC,64,64,1.0,0,0,0,0,0,0
